der Wissenschaftler; vědec
zuführen; přivádět
zurückwerfen; odrážet
zweckmäßig; účelný
der Zweig; obor
abbrechen; zrušit
abtasten; skenovat
sich anmelden; přihlásit se
die Abgabefrist; lhůta
abgeben; odevzdat
fristgemäß abgegeben; odevzdáno v termínu
nicht fristgemäß abgegeben; odevzdáno pozdě
Abgabefrist überschritten; termín překročen
der Absatz; odstavec
abspeichern; uložit
angeschlossen; připojený
die Anleitung; návod
der Anhang; příloha
keine Anhänge; bez příloh
die Anzahl; počet
anzeigen; ukázat
die Art; druh
die Auflösung; rozlišení
aufrufen; vyvolat
ausdrucken; vytisknout
ausfallen; vypadnout
ausschalten; vypnout
austauschen; vyměnit
der Befehl; příkaz
die Belegung; obsazení
beliebig; libovolný
der Benutzer; uživatel
der Benutzername; uživatelské jméno
der Bereich; oblast
beschriftet; popsaný
bestätigen; potvrdit
bewegen; pohybovat
die Bewegung; pohyb
bewerten; hodnotit
bewertet; ohodnocen
bilden; tvořit
der Bildschirm; obrazovka
der Buchstabe; písmeno
darstellen; zobrazit
die Daten; data
die Datei; soubor
dauerhaft; stálý
dienen; sloužit
direkt; přímý
der Drucker; tiskárna
drücken; tisknout
die Ebene; rovina
eigen; vlastní
einfügen; vložit
die Eingabe; vstup
die Eingabelinstrumente; vstupní nástroje
eingeben; zadat
einlegen; vložit
einlesen; načíst
einsetzen; nasadit
einschalten; zapnout
einzeln; jednotlivý
entfernen; odstranit
entgegennehmen; přijmout
das Fassungsvermögen; kapacita
die Festplatte; pevný disk
fett; tučný
flach; plochý
das Gehäuse; pouzdro
gelten; platit
das Gerät; přístroj
die Geschwindigkeit; rychlost
sich gliedern; členit se
die Grundausstattung; základní vybavení
handeln; jednat
herumtragen; nosit s sebou
herunterladen; stáhnout
hochkant; na výšku
das Laufwerk; disková jednotka
löschen; smazat
die Maus; myš
die Nadel; jehla
posten; poslat
der Schlitz; štěrbina
die Schnur; šňůra
die Schreibmarke; kursor
sichern; zálohovat
die Spalte; sloupec
der Speicher; paměť
speichern; uložit
die Steuerungstaste; řídící klávesa
der Strahl; paprsek
die Taste; klávesa
die Tastatur; klávesnice
die Tinte; inkoust
der Umgang; zacházení
umgehen; zacházet
die Umschalttaste; přepínací klávesa
unbeschadet; bez újmy
unterbrochen; přerušený
der USBSlot; mechanika
der USBStick; fleška
in Verbindung mit; v souvislosti s
verarbeiten; zpracovat
vertreiben; rozšiřovat
verwendbar; použitelný
die Vorderseite; přední strana
weiterbearbeiten; dále zpracovat
das Zeichen; znak
die Ziffer; číslice
der Zugang; přístup
der Zugriff; přístup
zugewiesen; zadáno
zuweisen; přidělit
